rock_id,x,y,angle,placed
0,34.8,0.2,0.0,1
1,34.8,0.2,0.0,1
2,35.26283938995887,-1.078327791517978,315.0,1
3,34.8,0.2,0.0,1
4,0.2,8.4,0.0,1
5,35.101537026479264,-0.544337125611196,135.0,1
6,18.2,14.4,0.0,1
7,33.47153465346535,-0.6220297029702977,90.0,1
